id,prefixo,kx_n_urns,grupo_id,escopo
245,br;minas.gerais;dom.bosco:municipal:lei.complementar,1,,leg
246,br;minas.gerais:estadual:decreto,47138,,leg
247,br;minas.gerais:estadual:emenda.constitucional,121,,leg
248,br;minas.gerais:estadual:lei,25805,,leg
249,br;minas.gerais:estadual:lei.complementar,137,,leg
250,br;minas.gerais:estadual:lei.constitucional,19,,leg
251,br;minas.gerais:estadual:lei.delegada,184,,leg
252,br;minas.gerais;ponte.nova:camara.municipal:regimento.interno,1,,leg
253,br;minas.gerais;ponte.nova:camara.municipal:resolucao,80,,leg
254,br;minas.gerais;ponte.nova:municipal:emenda.lei.organica,12,,leg
255,br;minas.gerais;ponte.nova:municipal:lei,1301,,leg
256,br;minas.gerais;ponte.nova:municipal:lei.complementar,10,,leg
257,br;minas.gerais;ponte.nova:municipal:lei.organica,1,,leg
258,br;minas.gerais;pouso.alto:municipal:decreto.legislativo,38,,leg
259,br;minas.gerais;pouso.alto:municipal:emenda.lei.organica,19,,leg
260,br;minas.gerais;pouso.alto:municipal:lei,643,,leg
261,br;minas.gerais;pouso.alto:municipal:lei.complementar,63,,leg
262,br;minas.gerais;pouso.alto:municipal:lei.organica,2,,leg
263,br;minas.gerais;rio.pomba:camara.municipal:resolucao,14,,leg
264,br;minas.gerais;rio.pomba:municipal:decreto.legislativo,16,,leg
265,br;minas.gerais;rio.pomba:municipal:emenda.lei.organica,10,,leg
266,br;minas.gerais;rio.pomba:municipal:lei,123,,leg
267,br;minas.gerais;rio.pomba:municipal:lei.complementar,13,,leg
268,br;minas.gerais;rio.pomba:municipal:lei.organica,1,,leg
269,br;minas.gerais;sao.sebastiao.rio.verde:municipal:lei,862,,leg
270,br;minas.gerais;sao.sebastiao.rio.verde:municipal:lei.complementar,23,,leg
271,br;minas.gerais;teofilo.otoni:camara.municipal:resolucao,50,,leg
272,br;minas.gerais;teofilo.otoni:municipal:lei,1869,,leg
273,br;minas.gerais;teofilo.otoni:municipal:lei.complementar,26,,leg
274,br;minas.gerais;teofilo.otoni:municipal:lei.organica,1,,leg
275,br;minas.gerais;uberaba:municipal:decreto.legislativo,5,,leg
276,br;minas.gerais;uberaba:municipal:decreto.lei,63,,leg
277,br;minas.gerais;uberaba:municipal:lei,11303,,leg
278,br;minas.gerais;uberaba:municipal:lei.complementar,462,,leg
279,br;minas.gerais;uberaba:municipal:lei.delegada,17,,leg
280,br;minas.gerais;uberaba:municipal:lei.organica,1,,leg
281,br;minas.gerais;unai:camara.municipal:resolucao,569,,leg
282,br;minas.gerais;unai:municipal:decreto,2,,leg
283,br;minas.gerais;unai:municipal:decreto.legislativo,279,,leg
284,br;minas.gerais;unai:municipal:emenda.lei.organica,34,,leg
285,br;minas.gerais;unai:municipal:lei,2906,,leg
286,br;minas.gerais;unai:municipal:lei.complementar,64,,leg
287,br;minas.gerais;unai:municipal:lei.organica,1,,leg
288,br:ministerio.educacao:portaria,1,,leg
289,br:ministerio.planejamento.orcamento.gestao:portaria,12,,leg
290,br;parana;cambe:camara.municipal:regimento.interno,1,,leg
291,br;parana;cambe:camara.municipal:resolucao,4,,leg
292,br;parana;cambe:municipal:decreto.legislativo,4,,leg
293,br;parana;cambe:municipal:lei,2866,,leg
294,br;parana;cambe:municipal:lei.complementar,25,,leg
